时间,仿真时间,真实压高度,仿真气压高度,真实指示空速,仿真指示空速,真实真空速,仿真真空速,真实马赫数,仿真马赫数,真实垂直速度,仿真垂直速度,真实大气静温,仿真大气静温
0,0,0,-18.7524021376109,244.025631675714,241.57191998744,260,241.345626216979,0.764044928757698,0.709176785648123,8.25,0,288.15,291.736809074342
0.1,0.1,0.824998026085614,-124.081987746196,244.016383964169,240.917087634247,259.999210434245,239.429476122492,0.764049718049136,0.703332262626967,8.24996052171227,0.611232402259167,288.14463751283,292.324632790059
0.2,0.2,1.64998815659161,46.895526957019,244.005819236431,246.07758191918,259.996841768153,246.655421467345,0.764049866942975,0.724905716190112,8.24984208840763,-0.937090376650204,288.139275076982,291.169373302879
0.3,0.3,2.47496249625007,-64.989585788473,243.993937750832,240.296158413019,259.992894095232,239.517347038721,0.764045375516435,0.703709475150855,8.24964470476162,0.626759439371359,288.133912743774,292.709836614
0.4,0.4,3.29991315041648,-7.02721997852298,243.980739810409,244.723363744994,259.987367571332,244.637420278825,0.764036244029936,0.718874018796634,8.2493683785666,-0.308182373484706,288.128550564522,291.982683670294
0.5,0.5,4.12483222538139,24.5737906472626,243.96622576289,245.739180472867,259.980262414629,246.041313619647,0.764022472927092,0.723059430020593,8.24901312073146,-0.177718869739886,288.123188590535,291.142073120872
0.6,0.6,4.94971182868202,53.5097393832468,243.950396000682,242.974536933743,259.971578905624,243.625717943001,0.764004062834708,0.716019370386902,8.24857894528118,-0.172491670260671,288.117826873114,291.406561714307
0.7,0.7,5.77454406941389,-1.48247503879331,243.933250960857,244.051081023189,259.961317387125,244.032996404968,0.763981014562757,0.717108490484977,8.24806586935625,0.29771360365817,288.112465463549,292.528212914206
0.8,0.8,6.5993210585423,-23.7571047236869,243.91479112514,242.80510039642,259.949478264241,242.517001388128,0.763953329104359,0.712609674514174,8.24747391321204,0.130040960080894,288.107104413119,292.262676232293
0.9,0.9,7.4240349092138,-5.85002680254332,243.89501701989,242.977851439715,259.936062004359,242.906812418775,0.763921007635746,0.713790484214141,8.24680310021795,-0.0938273534606912,288.10174377309,292.660557676601
1,1,8.24867773706753,-18.6466183727068,243.873929216087,241.092594151266,259.921069137131,240.868022538477,0.763884051516226,0.707773299730691,8.24605345685654,0.0775295829567058,288.096383594709,293.387425154757
