时间,仿真时间,真实压高度,仿真气压高度,真实指示空速,仿真指示空速,真实真空速,仿真真空速,真实马赫数,仿真马赫数,真实垂直速度,仿真垂直速度,真实大气静温,仿真大气静温
0,0,0,-6.2545519085521,244.025631675714,243.211748383357,260,243.135725068271,0.764044928757698,0.714462405133207,8.25,0,288.15,291.768429335452
0.1,0.1,0.824998026085614,-35.8364458054332,244.016383964169,242.641051629641,259.999210434245,242.206951892305,0.764049718049136,0.711674583007794,8.24996052171227,0.172016394793388,288.14463751283,291.908811551637
0.2,0.2,1.64998815659161,-19.342533523411,244.005819236431,243.334058085378,259.996841768153,243.098945322285,0.764049866942975,0.714328728158772,8.24984208840763,-0.0818766658784184,288.139275076982,291.761399890565
0.3,0.3,2.47496249625007,-26.9642691889822,243.993937750832,242.831589311299,259.992894095232,242.504599820975,0.764045375516435,0.712566922530704,8.24964470476162,0.0509955305883875,288.133912743774,291.919333105072
0.4,0.4,3.29991315041648,-24.1184535802631,243.980739810409,243.103164019886,259.987367571332,242.810327776514,0.764036244029936,0.713471106087474,8.2493683785666,-0.00607076723488743,288.128550564522,291.928414330513
0.5,0.5,4.12483222538139,-18.0443549082201,243.96622576289,243.434958163181,259.980262414629,243.215523772317,0.764022472927092,0.71467389181569,8.24901312073146,-0.0254440163545867,288.123188590535,291.830117879327
0.6,0.6,4.94971182868202,-10.1181351726987,243.950396000682,243.383863188767,259.971578905624,243.260808700084,0.764004062834708,0.714822447265688,8.24857894528118,-0.0378461178708034,288.117826873114,291.783122254054
0.7,0.7,5.77454406941389,-9.25489121634561,243.933250960857,243.450705556116,259.961317387125,243.338115210087,0.763981014562757,0.715051322522448,8.24806586935625,-3.29133362771822e-05,288.112465463549,291.857675538252
0.8,0.8,6.5993210585423,-10.5741086524307,243.91479112514,243.392117703652,259.949478264241,243.263515532744,0.763953329104359,0.714829512064204,8.24747391321204,0.0124498962562271,288.107104413119,291.894486778355
0.9,0.9,7.4240349092138,-10.1805169712386,243.89501701989,243.357634926953,259.936062004359,243.233835387617,0.763921007635746,0.714743055202029,8.24680310021795,0.00308666032651957,288.10174377309,291.958304872738
1,1,8.24867773706753,-10.8319998244666,243.873929216087,243.184494089496,259.921069137131,243.052869059005,0.763884051516226,0.714209948784481,8.24605345685654,0.00922927859153074,288.096383594709,292.068008133452
1.1,1.1,9.07324166054648,-11.2772750142106,243.851528329318,243.270501832218,259.904500254449,243.133419788475,0.763842462288138,0.714445805251209,8.24522501272245,0.00829795130339764,288.091023929206,291.992529676404
1.2,1.2,9.89771880120866,-9.38089166121338,243.827815019757,243.355187915092,259.886356010425,243.241110008476,0.763796241676793,0.714765995825462,8.24431780052123,-0.00469862222845955,288.085664827792,291.973736120269
1.3,1.3,10.7221012840381,-12.2453676593176,243.802789992148,243.33437870203,259.866637121361,243.185495053595,0.763745391590419,0.714596956375012,8.24333185606806,0.0219446787548637,288.080306341654,291.968530565212
1.4,1.4,11.5463812377558,-9.24790580897549,243.776453995789,243.457482422437,259.845344365727,243.344973897077,0.763689914120091,0.715071492579269,8.24226721828635,-0.010472354404411,288.074948521955,291.94669603577
1.5,1.5,12.3705507951305,-1.84246336349965,243.748807824513,243.691182975435,259.822478584123,243.668740320814,0.763629811539656,0.716037379359657,8.24112392920616,-0.0369971444006439,288.069591419832,291.888280017234
1.6,1.6,13.1946020932889,3.23420387645747,243.71985231667,243.679812271293,259.798040679252,243.719212837983,0.763565086305649,0.71619557569338,8.2399020339626,-0.0259816748943635,288.064235086394,291.824075301075
1.7,1.7,14.0185272740267,-0.998017948636239,243.689588355103,243.632884804397,259.77203161588,243.620730695856,0.763495741057208,0.715897940956807,8.238601580794,0.0258912449781288,288.058879572719,291.824796848249
1.8,1.8,14.8423184841184,0.832975332519875,243.658016867132,243.659306628715,259.7444524208,243.669452581554,0.763421778615972,0.716044679276246,8.23722262104002,-0.00766661519224323,288.053524929853,291.815284954003
1.9,1.9,15.6659678756274,3.80439466362871,243.625138824533,243.642412024507,259.715304182793,243.688752764094,0.763343201985981,0.716107179123062,8.23576520913963,-0.0146795721892555,288.048171208808,291.781484713464
2,2,16.4894676062159,6.2760138975013,243.590955243514,243.662021782093,259.684588052579,243.738481939469,0.763260014353564,0.716258119447967,8.23422940262896,-0.0127758047606049,288.04281846056,291.809458022348
2.1,2.1,17.3128098394542,8.37393715895581,243.555467184695,243.656224565037,259.65230524278,243.75824888551,0.763172219087218,0.716320288419482,8.23261526213901,-0.0116281694797017,288.037466736044,291.777328049347
2.2,2.2,18.1359867451309,9.78205213913268,243.518675753083,243.713517172545,259.618457027866,243.832731452777,0.763079819737487,0.716541886253613,8.2309228513933,-0.00841200994973413,288.032116086157,291.781557162648
2.3,2.3,18.9589904995608,11.1310624535608,243.480582098053,243.800238302527,259.583044744106,243.935947940756,0.762982820036823,0.716847793515724,8.2291522372053,-0.00873067011140118,288.026766561753,291.754597453929
2.4,2.4,19.7818132858949,11.8687202300827,243.441187413318,243.784743621205,259.546069789517,243.929441441046,0.762881223899454,0.716830110039834,8.22730348947583,-0.0056749264555104,288.021418213642,291.740975572075
2.5,2.5,20.6044472944282,9.37428540543823,243.40049293691,243.675825072702,259.507533623806,243.790050523879,0.762775035421229,0.71641568127414,8.22537668119028,0.0123535967027884,288.016071092586,291.769769077858
