时间,静压,总压,总温,气压高度,指示空速,真空速,马赫数,垂直速度,大气静温
0,101325,142730,321.792356961631,0,244.025631675714,260,0.764044928757698,8.25,288.15
0.1,101315.089578322,142716.558859305,321.786790145134,0.824998026085614,244.016383964169,259.999210434245,0.764049718049136,8.24996052171227,288.14463751283
0.2,101305.180036388,142702.616009813,321.780814733091,1.64998815659161,244.005819236431,259.996841768153,0.764049866942975,8.24984208840763,288.139275076982
0.3,101295.271468955,142688.171740633,321.774430812191,2.47496249625007,243.993937750832,259.992894095232,0.764045375516435,8.24964470476162,288.133912743774
0.4,101285.363970737,142673.2263698,321.767638492689,3.29991315041648,243.980739810409,259.987367571332,0.764036244029936,8.2493683785666,288.128550564522
0.5,101275.457636411,142657.78024424,321.760437908409,4.12483222538139,243.96622576289,259.980262414629,0.764022472927092,8.24901312073146,288.123188590535
0.6,101265.552560608,142641.833739748,321.752829216723,4.94971182868202,243.950396000682,259.971578905624,0.764004062834708,8.24857894528118,288.117826873114
0.7,101255.648837909,142625.387260952,321.744812598551,5.77454406941389,243.933250960857,259.961317387125,0.763981014562757,8.24806586935625,288.112465463549
0.8,101245.746562843,142608.441241277,321.736388258339,6.5993210585423,243.91479112514,259.949478264241,0.763953329104359,8.24747391321204,288.107104413119
0.9,101235.845829884,142590.996142914,321.727556424047,7.4240349092138,243.89501701989,259.936062004359,0.763921007635746,8.24680310021795,288.10174377309
1,101225.946733445,142573.052456774,321.71831734713,8.24867773706753,243.873929216087,259.921069137131,0.763884051516226,8.24605345685654,288.096383594709
1.1,101216.049367876,142554.610702451,321.70867130252,9.07324166054648,243.851528329318,259.904500254449,0.763842462288138,8.24522501272245,288.091023929206
1.2,101206.15382746,142535.671428174,321.698618588601,9.89771880120866,243.827815019757,259.886356010425,0.763796241676793,8.24431780052123,288.085664827792
1.3,101196.260206407,142516.23521076,321.688159527187,10.7221012840381,243.802789992148,259.866637121361,0.763745391590419,8.24333185606806,288.080306341654
1.4,101186.368598855,142496.302655566,321.677294463496,11.5463812377558,243.776453995789,259.845344365727,0.763689914120091,8.24226721828635,288.074948521955
1.5,101176.479098862,142475.874396436,321.66602376612,12.3705507951305,243.748807824513,259.822478584123,0.763629811539656,8.24112392920616,288.069591419832
1.6,101166.591800404,142454.951095645,321.654347826997,13.1946020932889,243.71985231667,259.798040679252,0.763565086305649,8.2399020339626,288.064235086394
1.7,101156.706797372,142433.533443842,321.642267061376,14.0185272740267,243.689588355103,259.77203161588,0.763495741057208,8.238601580794,288.058879572719
1.8,101146.824183567,142411.622159994,321.629781907784,14.8423184841184,243.658016867132,259.7444524208,0.763421778615972,8.23722262104002,288.053524929853
